segmentId,newSegmentId,speedLimit,frc,distance,lat,lon,timeSet,timeSetName,dateRange,averageSpeed,medianSpeed,harmonicAverageSpeed,standardDeviationSpeed,averageTravelTime,medianTravelTime,travelTimeRatio,sampleSize,travelTimeStandardDeviation,speedP5,speedP10,speedP15,speedP20,speedP25,speedP30,speedP35,speedP40,speedP45,speedP50,speedP55,speedP60,speedP65,speedP70,speedP75,speedP80,speedP85,speedP90,speedP95
15040010852302,da02f8ac-36d4-4eba-bb55-cf5a184a515b,60,7,10.24,33.55953,-7.65121,4,16:00-21:00,1,27.2,25.0,20.1,13.3,1.83,1.47,0.81,495,2.24,10,14,16,18,20,21,22,23,24,25,27,28,30,32,33,35,37,41,48
15040011003641,da0b6c6e-7637-4c25-bdbb-2bf94101369e,60,4,6.13,33.57151,-7.66918,4,16:00-21:00,1,20.3,21.0,15.0,8.3,1.47,1.05,1.11,2949,1.46,6,9,12,14,15,16,18,19,20,21,22,22,23,24,25,26,28,30,33
15040010851152,da8ca219-24e1-4da5-9c8b-078b5e273842,60,7,11.73,33.5493,-7.68345,4,16:00-21:00,1,19.1,19.0,14.8,6.2,2.85,2.22,1.06,167,2.92,6,11,13,15,16,17,18,18,19,19,20,21,21,22,23,24,25,26,29
15040010413401,daa8da59-c94e-40db-bb88-2a815a70c6f5,60,4,12.72,33.54616,-7.65584,4,16:00-21:00,1,39.7,37.0,32.7,14.1,1.4,1.24,1.03,1381,1.24,21,25,27,29,30,32,33,35,36,37,38,40,42,44,47,51,54,61,67
15040010823736,db0ccf10-0fc5-4aff-be89-68f8c5e2d3f5,24,7,19.38,33.56498,-7.65985,4,16:00-21:00,1,22.0,21.0,17.6,9.0,3.97,3.32,1.1,4027,5.11,10,12,13,15,16,17,18,19,20,21,22,23,24,26,27,29,31,33,37
15040010817890,db592d1c-07dc-43e7-ac1e-1853e1850c82,60,7,45.22,33.57432,-7.68133,4,16:00-21:00,1,11.4,6.9,5.1,10.6,32.26,23.59,1.04,284,27.68,2,2,2,3,3,4,5,5,6,7,8,11,14,16,16,19,21,26,33
15040010789591,dbeac08e-1cfe-457c-a7ea-314ff7e9e0f7,60,5,37.89,33.55206,-7.68489,4,16:00-21:00,1,32.6,34.0,25.2,10.2,5.41,4.01,1.03,1694,8.44,15,19,22,24,26,29,30,31,33,34,35,36,37,38,39,40,42,44,47
15040010965209,dbec7312-9ee5-460b-b883-92ef3ba811e5,60,4,6.17,33.54936,-7.67829,4,16:00-21:00,1,22.3,22.0,17.1,9.2,1.3,1.01,1.05,7677,1.34,8,11,14,15,17,18,19,20,21,22,23,24,25,26,27,29,31,33,37
15040010967716,dd221061-518e-480d-8575-63e8e00acc96,60,4,5.87,33.54933,-7.67852,4,16:00-21:00,1,24.9,25.0,18.6,9.7,1.14,0.85,1.03,7258,1.4,9,13,15,17,19,20,22,23,24,25,26,27,28,30,31,32,34,36,40
15040011071250,dd3f4452-1749-4e99-9819-d0e4f52b4dfe,60,7,23.06,33.56634,-7.6661,4,16:00-21:00,1,41.4,45.0,31.7,15.1,2.62,1.84,1.02,3648,2.79,13,17,20,24,31,38,41,43,44,45,47,48,49,50,52,53,55,58,61
15040010273202,dec9eff7-6c84-4d06-b095-78887a573eb2,60,4,68.12,33.54699,-7.65683,4,16:00-21:00,1,44.2,45.0,40.9,9.8,6.0,5.45,1.03,5563,3.53,27,32,34,37,39,41,42,43,44,45,46,47,48,49,50,51,53,55,58
15040010818696,ded30c00-53c5-4907-bc6a-5b21fa99dbcf,60,6,23.64,33.55073,-7.67636,4,16:00-21:00,1,27.1,27.0,22.3,9.7,3.82,3.15,1.0,2571,3.35,12,15,18,20,22,23,24,25,26,27,28,29,30,31,32,33,35,38,43
15040010818884,df3619b3-dcf7-4934-9cb2-b76f4de698fb,18,7,69.32,33.56213,-7.66396,4,16:00-21:00,1,35.5,38.0,18.5,20.8,13.53,6.57,1.35,57,16.35,5,6,12,15,23,26,27,31,33,38,38,39,42,43,43,48,53,61,79
15040010805259,df3cbac7-76f0-48e6-b759-f176e5d80ded,18,7,152.68,33.55489,-7.66577,4,16:00-21:00,1,45.8,41.0,41.5,14.7,13.26,13.41,1.02,535,4.14,28,30,31,33,34,35,36,37,39,41,43,47,53,56,58,60,62,66,72
15040010604691,df4f0065-405d-495f-973c-caa229d46c0e,60,4,26.51,33.54797,-7.66017,4,16:00-21:00,1,35.1,33.0,30.6,11.6,3.12,2.89,1.02,1834,2.46,19,23,25,27,28,29,30,31,32,33,34,36,37,38,40,42,45,49,58
15040010862197,df569910-5775-48a6-84b4-c777a2ddff10,60,4,32.07,33.55528,-7.68565,4,16:00-21:00,1,16.6,16.0,8.8,10.2,13.19,7.22,1.2,2330,13.86,3,3,4,6,8,10,11,13,15,16,18,19,21,22,24,25,28,30,34
15040010830668,e003832d-30da-4f39-a3b4-eafb5d24797a,60,7,29.03,33.55962,-7.65115,4,16:00-21:00,1,27.7,26.0,19.3,12.6,5.43,4.02,1.04,507,7.74,10,14,16,18,20,21,22,24,25,26,27,28,30,32,34,36,40,45,53
15040010966787,e00619ac-0a3c-4297-be36-cbdc9e2bf155,60,4,22.84,33.54917,-7.67846,4,16:00-21:00,1,23.2,23.0,17.1,10.5,4.8,3.57,0.99,4258,4.75,7,10,12,14,16,18,19,20,22,23,24,25,27,28,30,31,33,36,40
15040011005830,e0324903-3c8b-46e1-b4ff-02afe52a49e4,60,7,73.18,33.55724,-7.65336,4,16:00-21:00,1,39.3,40.0,32.3,12.0,8.16,6.59,0.99,965,11.77,18,24,28,30,32,34,36,37,38,40,41,42,44,45,47,49,51,53,58
15040010826385,e039260f-1f58-4aaa-902b-fd0192a8ef23,60,6,33.64,33.57173,-7.68475,4,16:00-21:00,1,27.6,28.0,22.2,8.6,5.46,4.33,0.96,862,6.53,12,16,19,21,23,24,25,26,27,28,29,30,31,32,33,34,36,38,41
15040010806872,e0817638-989a-4d8d-b19e-b2663dffe484,60,5,32.37,33.55233,-7.68503,4,16:00-21:00,1,30.0,31.0,23.2,9.4,5.02,3.76,1.04,1696,7.92,14,18,21,23,24,26,27,29,30,31,32,33,34,35,36,37,38,40,43
15040010811837,e0b9d1da-bbee-4f5c-81f0-0402da881b61,60,5,12.36,33.55285,-7.68529,4,16:00-21:00,1,17.6,18.0,7.3,11.1,6.13,2.47,1.07,1295,8.88,2,3,4,6,9,10,13,15,16,18,19,20,22,23,25,27,29,32,35
15040011040909,e171b33c-78c2-4cf8-a1e3-ab532d64aedf,24,7,146.12,33.54857,-7.67583,4,16:00-21:00,1,18.1,18.0,15.8,6.3,33.41,29.22,0.93,38,13.85,8,11,11,12,13,15,15,16,18,18,18,19,19,21,23,25,25,26,32
15040010273476,e1ab9b37-30c3-4afd-8da6-58e6ff4bfb29,60,4,10.35,33.54606,-7.6561,4,16:00-21:00,1,33.1,32.0,23.2,13.9,1.61,1.16,0.95,817,2.7,11,16,20,22,25,27,28,29,31,32,33,35,37,39,41,43,46,51,58
15040010910799,e1eb3e69-86cd-4e46-a32c-2f8afa1f656a,60,3,62.38,33.55419,-7.6663,4,16:00-21:00,1,40.9,38.0,34.9,15.2,6.43,5.91,0.88,5286,4.12,21,25,28,30,32,33,35,36,37,38,39,41,42,44,46,49,55,64,73
