segmentId,newSegmentId,speedLimit,frc,distance,lat,lon,timeSet,timeSetName,dateRange,averageSpeed,medianSpeed,harmonicAverageSpeed,standardDeviationSpeed,averageTravelTime,medianTravelTime,travelTimeRatio,sampleSize,travelTimeStandardDeviation,speedP5,speedP10,speedP15,speedP20,speedP25,speedP30,speedP35,speedP40,speedP45,speedP50,speedP55,speedP60,speedP65,speedP70,speedP75,speedP80,speedP85,speedP90,speedP95
-15040003213381,-00004d41-3200-0400-0000-0000004c5647,60,7,22.59,33.5738,-7.68139,3,5:00-9:00,1,11.0,11.0,11.0,0.0,7.39,7.39,1.59,1,0.0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
-15040003213381,-00004d41-3200-0400-0000-0000004c5647,60,7,22.59,33.5738,-7.68139,4,16:00-21:00,1,23.0,14.0,19.5,12.7,4.18,5.81,0.9,2,2.31,14,14,14,14,14,14,14,14,14,14,32,32,32,32,32,32,32,32,32
-15040003213381,-00004d41-3200-0400-0000-0000004c5647,60,7,22.59,33.5738,-7.68139,5,22:00-24:00,1,22.0,22.0,22.0,0.0,3.7,3.7,0.8,1,0.0,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
-15040003213381,-00004d41-3200-0400-0000-0000004c5647,60,7,22.59,33.5738,-7.68139,6,0:00-4:00,1,17.0,17.0,17.0,0.0,4.78,4.78,1.03,1,0.0,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
-15040002521194,-00004d41-3200-0400-0000-0000004c5649,60,7,8.05,33.57323,-7.67991,2,10:00-16:00,1,0.0,0.0,0.0,,0.0,0.0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-15040002521194,-00004d41-3200-0400-0000-0000004c5649,60,7,8.05,33.57323,-7.67991,3,5:00-9:00,1,0.0,0.0,0.0,,0.0,0.0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-15040002521194,-00004d41-3200-0400-0000-0000004c5649,60,7,8.05,33.57323,-7.67991,4,16:00-21:00,1,14.0,14.0,14.0,0.0,2.07,2.07,0.0,1,0.0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
-15040002521194,-00004d41-3200-0400-0000-0000004c5649,60,7,8.05,33.57323,-7.67991,5,22:00-24:00,1,0.0,0.0,0.0,,0.0,0.0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-15040002521194,-00004d41-3200-0400-0000-0000004c5649,60,7,8.05,33.57323,-7.67991,6,0:00-4:00,1,32.0,32.0,32.0,0.0,0.91,0.91,0.0,1,0.0,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
-15040001877886,-00004d41-3200-0400-0000-0000004c564b,60,7,9.42,33.5727,-7.68012,2,10:00-16:00,1,0.0,0.0,0.0,,0.0,0.0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-15040001877886,-00004d41-3200-0400-0000-0000004c564b,60,7,9.42,33.5727,-7.68012,3,5:00-9:00,1,0.0,0.0,0.0,,0.0,0.0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-15040001877886,-00004d41-3200-0400-0000-0000004c564b,60,7,9.42,33.5727,-7.68012,4,16:00-21:00,1,17.0,18.0,16.1,4.6,2.11,1.88,0.0,3,0.64,12,12,12,12,12,12,18,18,18,18,18,18,18,21,21,21,21,21,21
-15040001877886,-00004d41-3200-0400-0000-0000004c564b,60,7,9.42,33.5727,-7.68012,5,22:00-24:00,1,0.0,0.0,0.0,,0.0,0.0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-15040001877886,-00004d41-3200-0400-0000-0000004c564b,60,7,9.42,33.5727,-7.68012,6,0:00-4:00,1,0.0,0.0,0.0,,0.0,0.0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-15040004756246,-00004d41-3200-0400-0000-0000004c5650,60,7,73.85,33.57379,-7.67654,2,10:00-16:00,1,0.0,0.0,0.0,,0.0,0.0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-15040004756246,-00004d41-3200-0400-0000-0000004c5650,60,7,73.85,33.57379,-7.67654,3,5:00-9:00,1,0.0,0.0,0.0,,0.0,0.0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-15040004756246,-00004d41-3200-0400-0000-0000004c5650,60,7,73.85,33.57379,-7.67654,4,16:00-21:00,1,0.0,0.0,0.0,,0.0,0.0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-15040004756246,-00004d41-3200-0400-0000-0000004c5650,60,7,73.85,33.57379,-7.67654,5,22:00-24:00,1,0.0,0.0,0.0,,0.0,0.0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-15040004756246,-00004d41-3200-0400-0000-0000004c5650,60,7,73.85,33.57379,-7.67654,6,0:00-4:00,1,0.0,0.0,0.0,,0.0,0.0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-15040002521181,-00004d41-3200-0400-0000-0000004c5651,60,7,72.96,33.57331,-7.67712,2,10:00-16:00,1,0.0,0.0,0.0,,0.0,0.0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-15040002521181,-00004d41-3200-0400-0000-0000004c5651,60,7,72.96,33.57331,-7.67712,3,5:00-9:00,1,0.0,0.0,0.0,,0.0,0.0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
